mean pos,mean neg,Tweet,Clean
3,2,?RT @justinbiebcr: The bigger the better....if you know what I mean ;),rt @justinbiebcr bigger better ... know mean ;)
3,1,"Listening to the ""New Age"" station on @SlackerRadio ? http://slacker.com/r/nqKf",listening new age station @slackeradio
1,1,"I favorited a YouTube video -- Drake and Josh - The Storm ""We will rock you"" http://youtu.be/v1Cib4kDPsI?a",favorited youtube video drake josh storm rock
4,2,i didnt mean knee high I ment in lengt it goes down to my knees ^-^ and is so cute I love it!,did not mean knee high ment lengt goes knes cute love
2,1,I wana see the vid Kyan,wanna see video kyan
1,3,if my mom went on for the love of ray J or any reality show i'd bee pissed .,mother went love ray j reality show i'd bee pised
1,1,"Ok so I just got a deal for my own show ""For The Love Of Deez Nuts"" go to VH1/deezNuts to apply ....R u here for Deez Nuts???",ok got deal show love dez nuts go vh deznuts apply ... dez nuts
3,1,@Mrhilton1985 Welcome to Twitter xx,@mrhilton welcome twitter x
2,1,"@kjbmusic oh yeah... however, I'd still like to be in the midst of it all though... u know...",@kjbmusic oh yeah ... however i'd still like midst though ... know ...
2,2,Can't say I like the new facebook layout. But just posted pics from my Super Bowl week. =),can't say like new facebok layout posted pics super bowl wk =)
2,1,I need a nice tea-drinking pic for our #Tea Club Membership page - anyone got one they'd be happy for me to use? http://bit.ly/b1PWLh,need nice tea-drinking pic #tea club membership page anyone got one they'd happy use
3,1,"@JonathanRKnight so twitpic it lol, I love Home Depot, love working w/my hands and building things, my dad was in construction",@jonathanrknight twitter picture very funny love home depot love working w hands building things dad construction
1,3,"@BarCough it's enough to make you sick, eh? there's nothing sacred anymore",@barcough enough make sick eh there's nothing sacred anymore
3,2,Hacienda is now level 80 time to get epic gear for her!!!! Oh and maybe some sleep would be good..,hacienda level time get epic gear oh maybe sleep would good ..
1,1,"DJ K-City presents ""Crank of America"" THE MIXTAPE. wanna be on it? DM me. http://twitpic.com/10tti2 PLS RT",dj k-city presents crank america mixtape wanna direct message pls rt
1,3,"Iran, with its unity and God's grace, will punch the arrogance (West) 22nd of Bahman (Feb 11) in a way that will leave them stunned,",iran unity god's grace punch arrogance west nd bahman feb way leave stuned
4,3,"@TiffyStarz wtf, where i come from noone likes metal and hardcore, like 5 of my mates max are fully into metal, it sucks, i love metalll :L",@tifystarz damn come none likes metal hardcore like mates max fully metal sucks love metal l
1,1,www.moneyhackers.org Reasons why entrepreneurs to venture in Nursing Agencies | Best ...: Reasons why entrepreneur... http://bit.ly/bvgzLs,w.moneyhackers.org reasons entrepreneurs venture nursing agencies best ... reasons entrepreneur ...
1,2,#4WordsOnObamasHand Don't Say The N-Word,#wordsonobamashand say n-word
1,3,City watchdog in chaos as chief executive Hector Sants resigns just months before general election,city watchdog chaos chief executive hector sants resigns months general election
2,1,"RT @MangaUK: God it is a big news day today! By popular demand, ""Ah! My Goddess Season 2"" will be released in 3 2-disc sets: May, Jul, Sep.",rt @mangauk god big news day today popular demand ah goddess season released disc sets may jul sep
2,2,Wow my sis said she gona get a tramp stamp tat LOL I told her it's to late for that ha ha evil laugh,wow sister said gona get tramp stamp tat very funny told late ha ha evil laugh
3,2,@russmarshalek Sold! Would love to be your crazyass big sis -- how could I say no?! Cannot believe I broke or minimally battered my toe --,@rusmarshalek sold would love crazyas big sister could say cannot believe broke minimally battered toe
2,1,@zzramesses yes; hope to release that feature next month,@zrameses yes hope release feature next month
