mean pos,mean neg,Tweet,Clean,class,NO URL,NO STOPWORD,NO NUMBER,NO REPEAT,NO ACRONYM,NO NEGATION,OUR
3,2,?RT @justinbiebcr: The bigger the better....if you know what I mean ;),rt @justinbiebcr bigger better ... know mean ;),4,rt @justinbiebcr bigger better ... know mean ;),rt @justinbiebcr the bigger the better ... if you know what i mean ;),rt @justinbiebcr bigger better ... know mean ;),rt @justinbiebcr bigger better ... know mean ;),rt @justinbiebcr bigger better ... know mean ;),rt @justinbiebcr bigger better ... know mean ;),rt bigger better ... know mean happy
3,1,"Listening to the ""New Age"" station on @SlackerRadio ? http://slacker.com/r/nqKf",listening new age station @slackeradio,4,listening new age station @slackeradio htp://slacker.com/r/nqkf,listening to the new age station on @slackeradio,listening new age station @slackeradio,listening new age station @slackerradio,listening new age station @slackeradio,listening new age station @slackeradio,listening new age station
1,1,"I favorited a YouTube video -- Drake and Josh - The Storm ""We will rock you"" http://youtu.be/v1Cib4kDPsI?a",favorited youtube video drake josh storm rock,2,favorited youtube video drake josh storm rock htp://youtu.be/vcibkdpsi?a,i favorited a youtube video drake and josh the storm we will rock you,favorited youtube video drake josh storm rock,favorited youtube video drake josh storm rock,favorited youtube video drake josh storm rock,favorited youtube video drake josh storm rock,favorited youtube video drake josh storm rock
4,2,i didnt mean knee high I ment in lengt it goes down to my knees ^-^ and is so cute I love it!,did not mean knee high ment lengt goes knes cute love,4,did not mean knee high ment lengt goes knes cute love,i did not mean knee high i ment in lengt it goes down to my knes and is so cute i love it,did not mean knee high ment lengt goes knes cute love,did not mean knee high ment lengt goes knees cute love,did not mean knee high ment lengt goes knes cute love,did not mean knee high ment lengt goes knes cute love,did not mean knee high ment lengt goes knes cute love
2,1,I wana see the vid Kyan,wanna see video kyan,4,wanna see video kyan,i wanna see the video kyan,wanna see video kyan,wanna see video kyan,wana see vid kyan,wanna see video kyan,wanna see video kyan
1,3,if my mom went on for the love of ray J or any reality show i'd bee pissed .,mother went love ray j reality show i'd bee pised,0,mother went love ray j reality show i'd bee pised,if my mother went on for the love of ray j or any reality show i'd bee pised,mother went love ray j reality show i'd bee pised,mother went love ray j reality show i'd bee pissed,mom went love ray j reality show i'd bee pised,mother went love ray j reality show i'd bee pised,mother went love ray j reality show i'd bee pised
1,1,"Ok so I just got a deal for my own show ""For The Love Of Deez Nuts"" go to VH1/deezNuts to apply ....R u here for Deez Nuts???",ok got deal show love dez nuts go vh deznuts apply ... dez nuts,2,ok got deal show love dez nuts go vh deznuts apply ... dez nuts,ok so i just got a deal for my own show for the love of dez nuts go to vh deznuts to apply ... are you here for dez nuts,ok got deal show love dez nuts go vh1 deznuts apply ... dez nuts,ok got deal show love deez nuts go vh deeznuts apply ... deez nuts,ok got deal show love dez nuts go vh deznuts apply ... r u dez nuts,ok got deal show love dez nuts go vh deznuts apply ... dez nuts,ok got deal show love dez nuts go vh deznuts apply ... dez nuts
3,1,@Mrhilton1985 Welcome to Twitter xx,@mrhilton welcome twitter x,4,@mrhilton welcome twitter x,@mrhilton welcome to twitter x,@mrhilton1985 welcome twitter x,@mrhilton welcome twitter xx,@mrhilton welcome twitter x,@mrhilton welcome twitter x,welcome twitter x
2,1,"@kjbmusic oh yeah... however, I'd still like to be in the midst of it all though... u know...",@kjbmusic oh yeah ... however i'd still like midst though ... know ...,4,@kjbmusic oh yeah ... however i'd still like midst though ... know ...,@kjbmusic oh yeah ... however i'd still like to be in the midst of it all though ... you know ...,@kjbmusic oh yeah ... however i'd still like midst though ... know ...,@kjbmusic oh yeah ... however i'd still like midst though ... know ...,@kjbmusic oh yeah ... however i'd still like midst though ... u know ...,@kjbmusic oh yeah ... however i'd still like midst though ... know ...,oh yeah ... however i'd still like midst though ... know ...
2,2,Can't say I like the new facebook layout. But just posted pics from my Super Bowl week. =),can not say like new facebok layout posted pics super bowl wk =),2,can not say like new facebok layout posted pics super bowl wk =),can not say i like the new facebok layout but just posted pics from my super bowl wk =),can not say like new facebok layout posted pics super bowl wk =),can not say like new facebook layout posted pics super bowl wk =),can not say like new facebok layout posted pics super bowl week =),can't say like new facebok layout posted pics super bowl wk =),can not say like new facebok layout posted pics super bowl wk happy
