id,tweet,polarity,Clean
1467933112,the angel is going to miss the athlete this weekend ,0,angel going miss athlete weekend
2323395086,It looks as though Shaq is getting traded to Cleveland to play w/ LeBron... Too bad for Suns' fans. The Big Cactus is no more ,0,loks though shaq getting traded cleveland play w lebron ... bad suns fans big cactus
1467968979,@clarianne APRIL 9TH ISN'T COMING SOON ENOUGH ,0,@clariane april th coming soon enough
1990283756,drinking a McDonalds coffee and not understanding why someone would hurt me for no apparent reason. ,0,drinking mcdonalds coffee understanding someone would hurt apparent reason
1988884918,So dissapointed Taylor Swift doesnt have a Twitter ,0,disapointed taylor swift doesnt twitter
1467984364,Wishes I was on the Spring Fling Tour with Dawn &amp; neecee Sigh  G'knight,0,wishes spring fling tour dawn nece sigh g'knight
1964951623,"got a sniffle, got the kids and hubby just left to work in Sydney for the weekend, boo hoo ",0,got sniffle got kids hubby left work sydney weekend boo ho
1881133744,i've only been in sydney for 3 hrs but I miss my friends  especially @ktjade!!!,0,i've sydney hours miss friends especially @ktjade
1753802024,xboxtweet not working again ,0,xboxtwet working
1980497384,R.I.P to lebron/kobe puppet commercials... ,0,p lebron kobe puppet comercials ...
1755405128,Allergies sucks sometimes. Theres a super adorable 9 month old beagle named Sydney hanging out with my roomie and his friend. Can't pet. ,0,alergies sucks sometimes theres super adorable month old beagle named sydney hanging roomate friend can not pet
1966205498,has a broken iphone ,0,broken iphone
2206224118,Line at McDonalds was too long so I can't get my sausage biscuit on ,0,line mcdonalds long can not get sausage biscuit
1687790990,"@stephnewby there is a virus going around  congestion, throw up, &amp; high fever",0,@stephnewby virus going around congestion throw high fever
1963812485,I scratched my iPod ,0,scratched ipod
1467844505,I don't understand... I really don't ,0,do not understand ... really do not
2258491381,@Rove1974 @Pink is our hero too! Love her! Wanna go see her in Brisvegas again but sadly my bank balance wont let me ,0,@rove @pink hero love wanna go see brisvegas sadly bank balance wont let
1468039375,I hate the fact that I'm genuinely excited about my last tweet ,0,hate fact i'm genuinely excited last tweet
2212063772,"Tula's sick! Nausious, Nasal congestion, headache, bodyaches and my nose is running a marathon. Theraflu please help ",0,tula's sick nausious nasal congestion headache bodyaches nose running marathon theraflu please help
1557163971,Hayfever time  not good!,0,hayfever time good
1975133437,"I wish diversity was like one of those musicians with loads of stuff on YouTube, but no  #bgt",0,wish diversity like one musicians loads stuff youtube #bgt
1932575931,"Oh No - the Cavs lost game 4  Cavs are 1 loss away from triggering a nuclear event that would make the hadron look like tiddlywinks ,,",0,oh cavs lost game cavs loss away trigering nuclear event would make hadron look like tidlywinks
